Timestamp	SoftVFC RR	SoftVFC RR FIL	Artifact	LAP	Peak RR
2014-03-14 15:10:23.892	371	371	0	0	1.1126099E-10	
2014-03-14 15:10:24.249	376	376	0	0	9.6154446E-11	
2014-03-14 15:10:24.635	356	356	0	0	1.4590468E-10	
2014-03-14 15:10:25.007	370	370	0	0	1.6351036E-10	
2014-03-14 15:10:25.39	374	374	0	0	1.5149251E-10	
2014-03-14 15:10:25.774	388	388	0	0	1.123178E-10	
2014-03-14 15:10:26.163	449	449	0	0	1.4857117E-10	
2014-03-14 15:10:27.174	372	372	0	0	1.263754E-10	
2014-03-14 15:10:27.552	341	341	0	0	8.433887E-11	
2014-03-14 15:10:27.934	367	367	0	0	9.732319E-11	
2014-03-14 15:10:28.316	372	372	0	0	9.5128176E-11	
2014-03-14 15:10:28.7	383	383	0	0	1.0241828E-10	
2014-03-14 15:10:29.083	360	360	0	0	1.4642645E-10	
2014-03-14 15:10:29.462	372	372	0	0	1.0247057E-10	
2014-03-14 15:10:29.842	376	376	0	0	2.0933494E-10	
2014-03-14 15:10:30.226	379	379	0	0	1.2753644E-10	
2014-03-14 15:10:30.607	370	370	0	0	1.0950323E-10	
2014-03-14 15:10:30.987	362	362	0	0	1.15608405E-10	
2014-03-14 15:10:31.366	374	374	0	0	1.2548752E-10	
2014-03-14 15:10:31.768	377	377	0	0	1.2966311E-10	
2014-03-14 15:10:32.13	368	368	0	0	1.1015725E-10	
2014-03-14 15:10:32.385	367	367	0	0	1.5318359E-10	
2014-03-14 15:10:32.765	372	372	0	0	2.0207656E-10	
2014-03-14 15:10:33.144	372	372	0	0	1.5631264E-10	
2014-03-14 15:10:33.527	452	452	0	0	1.1883107E-10	
2014-03-14 15:10:33.91	323	323	0	0	1.0823937E-10	
2014-03-14 15:10:34.293	348	348	0	0	1.4501156E-10	
2014-03-14 15:10:34.521	372	372	0	0	1.4501156E-10	
2014-03-14 15:10:34.674	363	363	0	0	1.5482964E-10	
2014-03-14 15:10:35.052	372	372	0	0	1.8534364E-10	
2014-03-14 15:10:35.435	378	378	0	0	1.3667896E-10	
2014-03-14 15:10:35.818	379	379	0	0	1.1861814E-10	
2014-03-14 15:10:36.2	366	366	0	0	1.0861947E-10	
2014-03-14 15:10:36.453	372	372	0	0	1.225187E-10	
2014-03-14 15:10:36.835	367	367	0	0	1.06264955E-10	
2014-03-14 15:10:37.22	366	366	0	0	9.492242E-11	
2014-03-14 15:10:37.601	375	375	0	0	1.2488507E-10	
2014-03-14 15:10:37.98	382	382	0	0	1.5004673E-10	
2014-03-14 15:10:38.361	358	358	0	0	1.5719953E-10	
2014-03-14 15:10:38.739	372	372	0	0	2.0792958E-10	
2014-03-14 15:10:39.127	395	395	0	0	1.2011621E-10	
2014-03-14 15:10:39.504	375	375	0	0	1.4302001E-10	
2014-03-14 15:10:39.888	410	410	0	0	1.506243E-10	
2014-03-14 15:10:40.271	311	311	0	0	1.1594309E-10	
2014-03-14 15:10:40.657	398	398	0	0	1.2860511E-10	
2014-03-14 15:10:41.034	345	345	0	0	1.949234E-10	
2014-03-14 15:10:41.41	396	396	0	0	1.5085444E-10	
2014-03-14 15:10:41.672	345	345	0	0	2.0117902E-10	
2014-03-14 15:10:42.048	393	393	0	0	2.2056872E-10	
2014-03-14 15:10:42.43	435	435	0	0	1.5177064E-10	
2014-03-14 15:10:43.578	419	419	0	0	2.7090408E-10	
2014-03-14 15:10:43.955	353	353	0	0	1.3140931E-10	
2014-03-14 15:10:44.338	332	332	0	0	1.3604359E-10	
