Timestamp	SoftVFC RR	SoftVFC RR FIL	Artifact	LAP	Peak RR
2014-01-06 00:54:42.864	412	412	0	0	1.7937868E-10	
2014-01-06 00:54:43.243	389	389	0	0	9.6821266E-11	
2014-01-06 00:54:43.622	305	305	0	0	1.640175E-10	
2014-01-06 00:54:44.003	382	382	0	0	1.08103276E-10	
2014-01-06 00:54:44.258	372	372	0	0	8.552505E-11	
2014-01-06 00:54:44.641	410	410	0	0	7.182721E-11	
2014-01-06 00:54:45.024	329	329	0	0	9.1302216E-11	
2014-01-06 00:54:45.399	375	375	0	0	7.697708E-11	
2014-01-06 00:54:45.785	369	369	0	0	7.9381106E-11	
2014-01-06 00:54:46.168	367	367	0	0	1.01183284E-10	
2014-01-06 00:54:46.547	366	366	0	0	6.9242306E-11	
2014-01-06 00:54:46.931	417	417	0	0	6.0303866E-11	
2014-01-06 00:54:47.311	348	348	0	0	1.9021366E-10	
2014-01-06 00:54:47.69	406	406	0	0	6.902505E-11	
2014-01-06 00:54:48.072	354	354	0	0	6.9450945E-11	
2014-01-06 00:54:48.454	383	383	0	0	8.794653E-11	
2014-01-06 00:54:48.837	362	362	0	0	1.12625596E-10	
2014-01-06 00:54:49.214	356	356	0	0	8.9044404E-11	
2014-01-06 00:54:49.471	345	345	0	0	8.9044404E-11	
2014-01-06 00:54:49.85	374	374	0	0	1.9214715E-10	
2014-01-06 00:54:50.236	397	397	0	0	6.6768E-11	
2014-01-06 00:54:50.616	466	466	0	0	1.6361001E-10	
2014-01-06 00:54:50.652	372	372	0	0	1.6361001E-10	
2014-01-06 00:54:51.756	370	370	0	0	6.861969E-11	
2014-01-06 00:54:52.142	328	328	0	0	1.7811516E-10	
2014-01-06 00:54:52.552	393	393	0	0	1.2217E-10	
2014-01-06 00:54:52.902	364	364	0	0	7.975187E-11	
2014-01-06 00:54:53.274	372	372	0	0	7.129801E-11	
2014-01-06 00:54:53.663	360	360	0	0	6.232789E-11	
2014-01-06 00:54:54.042	369	369	0	0	1.084486E-10	
2014-01-06 00:55:05.557	387	387	0	0	5.6036894E-11	
2014-01-06 00:55:05.86	372	372	0	0	8.389607E-11	
2014-01-06 00:55:06.24	370	370	0	0	7.368197E-11	
2014-01-06 00:55:08.072	371	371	0	0	1.0446771E-10	
2014-01-06 00:55:08.148	372	372	0	0	1.0446771E-10	
2014-01-06 00:55:08.53	361	361	0	0	1.11634715E-10	
2014-01-06 00:55:08.788	379	379	0	0	9.8908715E-11	
2014-01-06 00:55:09.166	407	407	0	0	1.2254008E-10	
2014-01-06 00:55:09.548	342	342	0	0	1.1983968E-10	
2014-01-06 00:55:09.93	367	367	0	0	8.6267854E-11	
2014-01-06 00:55:10.202	445	445	0	0	8.8309644E-11	
2014-01-06 00:55:10.248	372	372	0	0	8.8309644E-11	
2014-01-06 00:55:10.293	372	372	0	0	8.8309644E-11	
2014-01-06 00:55:10.423	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.465	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.509	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.555	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.614	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.661	372	372	0	0	1.0036596E-10	
2014-01-06 00:55:10.711	391	391	0	0	8.315967E-11	
2014-01-06 00:55:10.758	372	372	0	0	8.315967E-11	
2014-01-06 00:55:10.801	372	372	0	0	8.315967E-11	
2014-01-06 00:55:10.844	344	344	0	0	8.315967E-11	
2014-01-06 00:55:11.078	383	383	0	0	1.574712E-10	
2014-01-06 00:55:11.461	376	376	0	0	8.9290894E-11	
2014-01-06 00:55:11.844	379	379	0	0	6.6884644E-11	
2014-01-06 00:55:12.22	347	347	0	0	8.6446725E-11	
2014-01-06 00:55:12.548	372	372	0	0	8.6446725E-11	
2014-01-06 00:55:12.603	373	373	0	0	8.0316774E-11	
2014-01-06 00:55:14.393	402	402	0	0	8.896241E-11	
2014-01-06 00:55:14.764	348	348	0	0	1.0477381E-10	
2014-01-06 00:55:15.147	364	364	0	0	5.916062E-11	
2014-01-06 00:55:15.53	375	375	0	0	8.01824E-11	
2014-01-06 00:55:15.913	375	375	0	0	6.737697E-11	
2014-01-06 00:55:16.289	374	374	0	0	9.0973035E-11	
2014-01-06 00:55:16.672	400	400	0	0	5.7405466E-11	
2014-01-06 00:55:17.054	336	336	0	0	9.2398623E-11	
