Timestamp	SoftVFC RR	SoftVFC RR FIL	Artifact	LAP	Peak RR
2014-03-14 15:10:23.893	342	342	0	0	8.6647925E-11	
2014-03-14 15:10:24.25	370	370	0	0	6.634157E-11	
2014-03-14 15:10:24.636	385	385	0	0	7.125045E-11	
2014-03-14 15:10:25.008	360	360	0	0	1.386836E-10	
2014-03-14 15:10:25.391	373	373	0	0	1.8461843E-10	
2014-03-14 15:10:25.775	387	387	0	0	8.0214314E-11	
2014-03-14 15:10:26.165	358	358	0	0	9.716166E-11	
2014-03-14 15:10:26.533	446	446	0	0	1.0508713E-10	
2014-03-14 15:10:27.553	339	339	0	0	5.823231E-11	
2014-03-14 15:10:27.935	362	362	0	0	1.1635921E-10	
2014-03-14 15:10:28.317	380	380	0	0	1.6487124E-10	
2014-03-14 15:10:28.701	370	370	0	0	8.7045406E-11	
2014-03-14 15:10:29.084	381	381	0	0	7.019969E-11	
2014-03-14 15:10:29.465	362	362	0	0	7.788924E-11	
2014-03-14 15:10:29.843	387	387	0	0	5.433049E-11	
2014-03-14 15:10:30.227	347	347	0	0	9.395224E-11	
2014-03-14 15:10:30.608	383	383	0	0	7.347476E-11	
2014-03-14 15:10:30.989	369	369	0	0	7.614155E-11	
2014-03-14 15:10:31.367	380	380	0	0	8.721412E-11	
2014-03-14 15:10:31.769	354	354	0	0	5.8200656E-11	
2014-03-14 15:10:32.133	372	372	0	0	7.141583E-11	
2014-03-14 15:10:32.386	377	377	0	0	1.0556562E-10	
2014-03-14 15:10:32.768	387	387	0	0	6.65124E-11	
2014-03-14 15:10:33.145	364	364	0	0	7.023413E-11	
2014-03-14 15:10:33.528	366	366	0	0	9.029366E-11	
2014-03-14 15:10:33.911	381	381	0	0	9.332259E-11	
2014-03-14 15:10:34.294	362	362	0	0	6.475196E-11	
2014-03-14 15:10:34.522	372	372	0	0	6.022489E-11	
2014-03-14 15:10:34.676	370	370	0	0	9.018993E-11	
2014-03-14 15:10:35.053	368	368	0	0	8.683419E-11	
2014-03-14 15:10:35.436	381	381	0	0	8.654939E-11	
2014-03-14 15:10:35.818	368	368	0	0	8.303157E-11	
2014-03-14 15:10:36.201	363	363	0	0	4.7036965E-11	
2014-03-14 15:10:36.454	385	385	0	0	6.726135E-11	
2014-03-14 15:10:36.837	364	364	0	0	8.114702E-11	
2014-03-14 15:10:37.221	370	370	0	0	8.0862234E-11	
2014-03-14 15:10:37.603	368	368	0	0	8.692431E-11	
2014-03-14 15:10:37.981	374	374	0	0	1.1367393E-10	
2014-03-14 15:10:38.362	382	382	0	0	1.07255094E-10	
2014-03-14 15:10:38.74	402	402	0	0	7.4095514E-11	
2014-03-14 15:10:39.129	344	344	0	0	6.5018324E-11	
2014-03-14 15:10:39.505	369	369	0	0	1.14049395E-10	
2014-03-14 15:10:39.891	370	370	0	0	9.890028E-11	
2014-03-14 15:10:40.272	360	360	0	0	7.562518E-11	
2014-03-14 15:10:40.659	373	373	0	0	1.2713042E-10	
2014-03-14 15:10:41.036	383	383	0	0	9.3396006E-11	
2014-03-14 15:10:41.411	366	366	0	0	1.1859794E-10	
2014-03-14 15:10:41.673	389	389	0	0	9.3087316E-11	
2014-03-14 15:10:42.049	346	346	0	0	1.07834096E-10	
2014-03-14 15:10:42.431	387	387	0	0	9.0250016E-11	
2014-03-14 15:10:42.814	365	365	0	0	5.350389E-11	
2014-03-14 15:10:43.197	375	375	0	0	1.1386754E-10	
2014-03-14 15:10:43.58	366	366	0	0	9.8395736E-11	
2014-03-14 15:10:43.956	374	374	0	0	9.707098E-11	
2014-03-14 15:10:44.339	369	369	0	0	7.3010174E-11	
