Timestamp	SoftVFC RR	SoftVFC RR FIL	Artifact	LAP	Peak RR
2014-03-14 15:16:06.908	384	384	0	0	1.7475899E-10	
2014-03-14 15:16:07.288	488	488	0	0	1.2208665E-10	
2014-03-14 15:16:10.976	635	635	259	0	1.0046999E-10	
2014-03-14 15:16:12.886	393	393	0	0	2.7343228E-10	
2014-03-14 15:16:13.256	372	372	0	0	1.335378E-10	
2014-03-14 15:16:13.637	347	347	0	0	1.1719836E-10	
2014-03-14 15:16:13.895	372	372	0	0	1.0053819E-10	
2014-03-14 15:16:14.278	373	373	0	0	1.13918985E-10	
2014-03-14 15:16:14.661	375	375	0	0	1.6708009E-10	
